moody_lighting,0,图片属性>光照>氛围光照
cinematic_lighting,0,图片属性>光照>电影级光照
studio_lighting,0,图片属性>光照>工作室光照
soft_lighting,0,图片属性>光照>柔光
hard_lighting,0,图片属性>光照>硬光
volumetric_lighting,0,图片属性>光照>体积光
contre-jour,0,图片属性>光照>逆光
beautiful_lighting,0,图片属性>光照>美丽的光照
split_lighting,0,图片属性>光照>分割照明
accent_lighting,0,图片属性>光照>重点照明
strong_rim_light,0,图片属性>光照>轮廓光
tyndall_effect,0,图片属性>光照>丁达尔效应
caustics,0,图片属性>光照>水波纹(需与水相关词条搭配)
illustration,0,图片属性>艺术类型>插画
sketch,0,图片属性>艺术类型>草图
realistic,0,图片属性>艺术类型>写实
octane_render,0,图片属性>艺术类型>渲染
outline,0,图片属性>艺术类型>轮廓强调
no_lineart,0,图片属性>艺术类型>没有描线
detailed_and_intricate,0,图片属性>艺术类型>细节且详细的
colored_pencil_(medium),0,图片属性>艺术类型>彩铅画
cel_shading,0,图片属性>艺术类型>三渲二
anime,0,图片属性>艺术类型>动画风
bishoujo_figure,0,图片属性>艺术类型>手办
wallpaper,0,图片属性>艺术类型>壁纸
official_art,0,图片属性>艺术类型>官方图片
concept_art,0,图片属性>艺术类型>概念美术
magazine_scan,0,图片属性>艺术类型>杂志扫描
watercolor_(medium),0,图片属性>艺术类型>水彩
watercolor_pencil_(medium),0,图片属性>艺术类型>水彩铅笔
oil_painting_(medium),0,图片属性>艺术类型>油画
pixel_art,0,图片属性>艺术类型>像素画
style_of_cygames,0,图片属性>艺术风格>cygames
style_of_genshin_impact,0,图片属性>艺术风格>原神
style_of_love_live!,0,图片属性>艺术风格>lovelive
style_of_arknights,0,图片属性>艺术风格>明日方舟
style_of_granblue_fantasy,0,图片属性>艺术风格>碧蓝幻想
style_of_azur_lane,0,图片属性>艺术风格>碧蓝航线
style_of_gochuumon_wa_usagi_desu_ka,0,图片属性>艺术风格>点兔
style_of_bang_dream!,0,图片属性>艺术风格>邦邦
style_of_disgaea,0,图片属性>艺术风格>魔界战记
style_of_amagami,0,图片属性>艺术风格>圣诞之吻
style_of_8_bit_game,0,图片属性>艺术风格>8bit游戏
style_of_a_1980s_anime,0,图片属性>艺术风格>1980年代的动画
style_of_a_1980s_sitcom,0,图片属性>艺术风格>1980年代的电视情景喜剧
style_of_a_anime,0,图片属性>艺术风格>动画
style_of_a_catgirl,0,图片属性>艺术风格>猫女孩DC
style_of_a_disney_movie,0,图片属性>艺术风格>迪士尼电影
style_of_a_doom,0,图片属性>艺术风格>毁灭战士
style_of_a_goth,0,图片属性>艺术风格>哥特摇滚
style_of_a_hairy_man,0,图片属性>艺术风格>毛发旺盛的男人
style_of_a_idol,0,图片属性>艺术风格>偶像
style_of_a_mascot,0,图片属性>艺术风格>吉祥物
style_of_a_masculine_man,0,图片属性>艺术风格>阳刚的男人
style_of_a_metalhead,0,图片属性>艺术风格>重金属乐迷
style_of_a_pop_singer,0,图片属性>艺术风格>流行歌手
style_of_a_poster,0,图片属性>艺术风格>海报
style_of_a_propaganda_poster,0,图片属性>艺术风格>政治宣传海报
style_of_a_punk_rocker,0,图片属性>艺术风格>朋克摇滚乐手
style_of_a_20s_movie,0,图片属性>艺术风格>20年代电影
style_of_a_60s_movie,0,图片属性>艺术风格>60年代电影
style_of_a_80s_movie,0,图片属性>艺术风格>80年代电影
